
image 1/96 /app/Datasets/Green_grapes/test/images/105.png: 384x640 3 0s, 300.3ms
image 31/96 /app/Datasets/Green_grapes/test/images/389.png: 384x640 4 0s, 34.8ms
image 32/96 /app/Datasets/Green_grapes/test/images/420.png: 384x640 7 0s, 34.8ms
image 33/96 /app/Datasets/Green_grapes/test/images/428.png: 384x640 4 0s, 34.6ms
image 34/96 /app/Datasets/Green_grapes/test/images/430.png: 384x640 5 0s, 34.8ms
image 35/96 /app/Datasets/Green_grapes/test/images/434.png: 384x640 4 0s, 34.7ms
image 36/96 /app/Datasets/Green_grapes/test/images/442.png: 384x640 6 0s, 34.7ms
image 37/96 /app/Datasets/Green_grapes/test/images/452.png: 384x640 10 0s, 34.6ms
image 38/96 /app/Datasets/Green_grapes/test/images/457.png: 384x640 4 0s, 34.7ms
image 39/96 /app/Datasets/Green_grapes/test/images/464.png: 384x640 5 0s, 34.7ms
image 40/96 /app/Datasets/Green_grapes/test/images/472.png: 384x640 2 0s, 34.7ms
image 41/96 /app/Datasets/Green_grapes/test/images/479.png: 384x640 7 0s, 35.1ms
image 42/96 /app/Datasets/Green_grapes/test/images/486.png: 384x640 4 0s, 34.7ms
image 43/96 /app/Datasets/Green_grapes/test/images/491.png: 384x640 3 0s, 34.8ms
image 44/96 /app/Datasets/Green_grapes/test/images/500.png: 384x640 3 0s, 34.8ms
image 45/96 /app/Datasets/Green_grapes/test/images/503.png: 384x640 4 0s, 34.7ms
image 46/96 /app/Datasets/Green_grapes/test/images/508.png: 384x640 3 0s, 34.7ms
image 47/96 /app/Datasets/Green_grapes/test/images/530.png: 384x640 5 0s, 34.7ms
image 48/96 /app/Datasets/Green_grapes/test/images/540.png: 384x640 3 0s, 34.7ms
image 49/96 /app/Datasets/Green_grapes/test/images/546.png: 384x640 5 0s, 34.7ms
image 50/96 /app/Datasets/Green_grapes/test/images/547.png: 384x640 6 0s, 34.8ms
image 51/96 /app/Datasets/Green_grapes/test/images/55.png: 384x640 5 0s, 34.6ms
image 52/96 /app/Datasets/Green_grapes/test/images/563.png: 384x640 7 0s, 34.7ms
image 53/96 /app/Datasets/Green_grapes/test/images/569.png: 384x640 6 0s, 34.7ms
image 54/96 /app/Datasets/Green_grapes/test/images/573.png: 384x640 4 0s, 34.9ms
image 55/96 /app/Datasets/Green_grapes/test/images/597.png: 384x640 3 0s, 34.8ms
image 56/96 /app/Datasets/Green_grapes/test/images/600.png: 384x640 2 0s, 34.7ms
image 57/96 /app/Datasets/Green_grapes/test/images/627.png: 384x640 3 0s, 34.8ms
image 58/96 /app/Datasets/Green_grapes/test/images/629.png: 384x640 3 0s, 34.7ms
image 59/96 /app/Datasets/Green_grapes/test/images/634.png: 384x640 1 0, 34.7ms
image 60/96 /app/Datasets/Green_grapes/test/images/638.png: 384x640 3 0s, 34.8ms
image 61/96 /app/Datasets/Green_grapes/test/images/66.png: 384x640 3 0s, 34.7ms
image 62/96 /app/Datasets/Green_grapes/test/images/674.png: 384x640 1 0, 34.6ms
image 63/96 /app/Datasets/Green_grapes/test/images/681.png: 384x640 2 0s, 34.6ms
image 64/96 /app/Datasets/Green_grapes/test/images/690.png: 384x640 2 0s, 34.8ms
image 65/96 /app/Datasets/Green_grapes/test/images/702.png: 384x640 5 0s, 34.8ms
image 66/96 /app/Datasets/Green_grapes/test/images/708.png: 384x640 4 0s, 34.8ms
image 67/96 /app/Datasets/Green_grapes/test/images/711.png: 384x640 4 0s, 34.8ms
image 68/96 /app/Datasets/Green_grapes/test/images/728.png: 384x640 1 0, 34.7ms
image 69/96 /app/Datasets/Green_grapes/test/images/73.png: 384x640 1 0, 34.9ms
image 70/96 /app/Datasets/Green_grapes/test/images/732.png: 384x640 2 0s, 34.7ms
image 71/96 /app/Datasets/Green_grapes/test/images/741.png: 384x640 2 0s, 34.8ms
image 72/96 /app/Datasets/Green_grapes/test/images/759.png: 384x640 1 0, 34.8ms
image 73/96 /app/Datasets/Green_grapes/test/images/761.png: 384x640 3 0s, 34.8ms
image 74/96 /app/Datasets/Green_grapes/test/images/763.png: 384x640 1 0, 34.8ms
image 75/96 /app/Datasets/Green_grapes/test/images/775.png: 384x640 3 0s, 34.8ms
image 76/96 /app/Datasets/Green_grapes/test/images/779.png: 384x640 3 0s, 34.8ms
image 77/96 /app/Datasets/Green_grapes/test/images/79.png: 384x640 3 0s, 34.6ms
image 78/96 /app/Datasets/Green_grapes/test/images/790.png: 384x640 2 0s, 34.8ms
image 79/96 /app/Datasets/Green_grapes/test/images/797.png: 384x640 3 0s, 34.6ms
image 80/96 /app/Datasets/Green_grapes/test/images/814.png: 384x640 3 0s, 34.7ms
image 81/96 /app/Datasets/Green_grapes/test/images/823.png: 384x640 4 0s, 34.5ms
image 82/96 /app/Datasets/Green_grapes/test/images/836.png: 384x640 3 0s, 34.6ms
image 83/96 /app/Datasets/Green_grapes/test/images/84.png: 384x640 3 0s, 34.7ms
image 84/96 /app/Datasets/Green_grapes/test/images/866.png: 384x640 3 0s, 34.5ms
image 85/96 /app/Datasets/Green_grapes/test/images/876.png: 384x640 2 0s, 34.7ms
image 86/96 /app/Datasets/Green_grapes/test/images/88.png: 384x640 2 0s, 34.7ms
image 87/96 /app/Datasets/Green_grapes/test/images/880.png: 384x640 6 0s, 34.8ms
image 88/96 /app/Datasets/Green_grapes/test/images/9.png: 384x640 3 0s, 34.7ms
image 89/96 /app/Datasets/Green_grapes/test/images/903.png: 384x640 2 0s, 35.0ms
image 90/96 /app/Datasets/Green_grapes/test/images/907.png: 384x640 4 0s, 34.8ms
image 91/96 /app/Datasets/Green_grapes/test/images/912.png: 384x640 4 0s, 34.9ms
image 92/96 /app/Datasets/Green_grapes/test/images/915.png: 384x640 2 0s, 34.7ms
image 93/96 /app/Datasets/Green_grapes/test/images/917.png: 384x640 1 0, 34.7ms
image 94/96 /app/Datasets/Green_grapes/test/images/933.png: 384x640 6 0s, 34.8ms
image 95/96 /app/Datasets/Green_grapes/test/images/950.png: 384x640 3 0s, 35.5ms
image 96/96 /app/Datasets/Green_grapes/test/images/97.png: 384x640 4 0s, 34.8ms
Speed: 3.4ms preprocess, 37.6ms inference, 4.4ms postprocess per image at shape (1, 3, 384, 640)
Results saved to [1m/ultralytics/runs/detect/predict[0m
Inference done. Results saved to inference_benchmark_results.csv
Tegrastats log saved to tegrastats_results.txt
