
image 1/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1023.png: 640x384 3 0s, 299.2ms
image 27/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1285.png: 640x384 1 0, 34.6ms
image 28/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1288.png: 640x384 1 0, 34.7ms
image 29/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1290.png: 640x384 1 0, 34.6ms
image 30/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1292.png: 640x384 1 0, 34.7ms
image 31/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/13.png: 640x384 3 0s, 35.0ms
image 32/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1329.png: 640x384 2 0s, 34.5ms
image 33/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1336.png: 640x384 6 0s, 34.8ms
image 34/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1351.png: 640x384 1 0, 34.7ms
image 35/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1353.png: 640x384 6 0s, 34.2ms
image 36/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1366.png: 640x384 3 0s, 34.6ms
image 37/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1374.png: 640x384 1 0, 34.7ms
image 38/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1380.png: 640x384 2 0s, 34.6ms
image 39/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1385.png: 640x384 1 0, 34.6ms
image 40/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1389.png: 640x384 3 0s, 34.7ms
image 41/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/139.png: 640x384 5 0s, 34.5ms
image 42/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1413.png: 640x384 2 0s, 34.7ms
image 43/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1414.png: 640x384 3 0s, 34.6ms
image 44/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1421.png: 640x384 2 0s, 34.6ms
image 45/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1430.png: 640x384 2 0s, 34.6ms
image 46/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1442.png: 640x384 3 0s, 34.7ms
image 47/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1452.png: 640x384 2 0s, 34.9ms
image 48/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1482.png: 640x384 2 0s, 34.6ms
image 49/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1488.png: 640x384 5 0s, 34.8ms
image 50/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1489.png: 640x384 2 0s, 34.6ms
image 51/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1503.png: 640x384 8 0s, 34.6ms
image 52/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1526.png: 640x384 8 0s, 34.7ms
image 53/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1538.png: 640x384 5 0s, 34.8ms
image 54/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1545.png: 640x384 4 0s, 34.8ms
image 55/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1551.png: 640x384 5 0s, 34.7ms
image 56/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1554.png: 640x384 4 0s, 34.6ms
image 57/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1557.png: 640x384 5 0s, 34.8ms
image 58/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1561.png: 640x384 5 0s, 34.6ms
image 59/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/157.png: 640x384 6 0s, 34.6ms
image 60/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1570.png: 640x384 4 0s, 34.6ms
image 61/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/158.png: 640x384 8 0s, 35.2ms
image 62/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1581.png: 640x384 5 0s, 34.8ms
image 63/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1614.png: 640x384 1 0, 34.8ms
image 64/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1634.png: 640x384 6 0s, 35.0ms
image 65/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1644.png: 640x384 10 0s, 34.8ms
image 66/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1657.png: 640x384 2 0s, 34.8ms
image 67/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1659.png: 640x384 3 0s, 34.7ms
image 68/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1662.png: 640x384 5 0s, 34.7ms
image 69/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1682.png: 640x384 8 0s, 34.6ms
image 70/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1683.png: 640x384 2 0s, 34.6ms
image 71/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1698.png: 640x384 7 0s, 34.7ms
image 72/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1707.png: 640x384 2 0s, 35.0ms
image 73/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1714.png: 640x384 7 0s, 34.6ms
image 74/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1736.png: 640x384 3 0s, 34.8ms
image 75/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1746.png: 640x384 2 0s, 34.7ms
image 76/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1764.png: 640x384 4 0s, 34.8ms
image 77/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1765.png: 640x384 5 0s, 34.7ms
image 78/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/177.png: 640x384 5 0s, 34.8ms
image 79/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/18.png: 640x384 4 0s, 34.8ms
image 80/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1818.png: 640x384 7 0s, 34.7ms
image 81/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1841.png: 640x384 2 0s, 34.9ms
image 82/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1853.png: 640x384 3 0s, 34.8ms
image 83/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1857.png: 640x384 4 0s, 35.1ms
image 84/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1860.png: 640x384 7 0s, 34.6ms
image 85/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1864.png: 640x384 10 0s, 34.7ms
image 86/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1878.png: 640x384 9 0s, 35.3ms
image 87/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1879.png: 640x384 4 0s, 34.7ms
image 88/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/188.png: 640x384 5 0s, 34.7ms
image 89/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1885.png: 640x384 6 0s, 34.6ms
image 90/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1892.png: 640x384 2 0s, 34.7ms
image 91/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1901.png: 640x384 3 0s, 34.5ms
image 92/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1912.png: 640x384 4 0s, 35.1ms
image 93/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1924.png: 640x384 3 0s, 35.2ms
image 94/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1941.png: 640x384 7 0s, 34.9ms
image 95/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1947.png: 640x384 9 0s, 34.7ms
image 96/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1968.png: 640x384 4 0s, 35.3ms
image 97/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1970.png: 640x384 4 0s, 34.8ms
image 98/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/198.png: 640x384 3 0s, 34.4ms
image 99/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1986.png: 640x384 6 0s, 34.4ms
image 100/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1991.png: 640x384 5 0s, 34.7ms
image 101/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1992.png: 640x384 4 0s, 34.6ms
image 102/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1997.png: 640x384 5 0s, 34.6ms
image 103/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1998.png: 640x384 2 0s, 34.6ms
image 104/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2007.png: 640x384 5 0s, 34.8ms
image 105/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/201.png: 640x384 6 0s, 34.6ms
image 106/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2020.png: 640x384 6 0s, 34.8ms
image 107/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2059.png: 640x384 2 0s, 34.8ms
image 108/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2067.png: 640x384 2 0s, 35.1ms
image 109/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2086.png: 640x384 6 0s, 34.7ms
image 110/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2087.png: 640x384 6 0s, 34.7ms
image 111/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2101.png: 640x384 2 0s, 34.6ms
image 112/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2106.png: 640x384 6 0s, 34.8ms
image 113/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2109.png: 640x384 4 0s, 34.8ms
image 114/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/211.png: 640x384 4 0s, 34.7ms
image 115/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2112.png: 640x384 4 0s, 35.7ms
image 116/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2126.png: 640x384 6 0s, 34.8ms
image 117/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2139.png: 640x384 4 0s, 35.1ms
image 118/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2147.png: 640x384 4 0s, 35.5ms
image 119/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2159.png: 640x384 8 0s, 36.3ms
image 120/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2178.png: 640x384 9 0s, 35.0ms
image 121/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2187.png: 640x384 5 0s, 34.8ms
image 122/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2189.png: 640x384 5 0s, 34.4ms
image 123/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2197.png: 640x384 8 0s, 34.6ms
image 124/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2201.png: 640x384 7 0s, 34.7ms
image 125/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2226.png: 640x384 1 0, 34.3ms
image 126/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2229.png: 640x384 1 0, 35.3ms
image 127/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2230.png: 640x384 2 0s, 34.6ms
image 128/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2231.png: 640x384 1 0, 34.9ms
image 129/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2233.png: 640x384 2 0s, 34.9ms
image 130/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2234.png: 640x384 1 0, 34.8ms
image 131/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2236.png: 640x384 3 0s, 34.6ms
image 132/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2241.png: 640x384 3 0s, 34.9ms
image 133/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2251.png: 640x384 2 0s, 34.9ms
image 134/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2268.png: 640x384 2 0s, 34.8ms
image 135/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2279.png: 640x384 2 0s, 34.8ms
image 136/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2281.png: 640x384 1 0, 34.8ms
image 137/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2282.png: 640x384 4 0s, 34.8ms
image 138/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2284.png: 640x384 2 0s, 34.8ms
image 139/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2320.png: 640x384 2 0s, 34.7ms
image 140/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2327.png: 640x384 (no detections), 34.8ms
image 141/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/233.png: 640x384 2 0s, 34.9ms
image 142/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2330.png: 640x384 1 0, 34.7ms
image 143/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2351.png: 640x384 2 0s, 34.8ms
image 144/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2370.png: 640x384 4 0s, 52.4ms
image 145/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2395.png: 640x384 2 0s, 39.9ms
image 146/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2399.png: 640x384 3 0s, 34.9ms
image 147/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/24.png: 640x384 1 0, 34.8ms
image 148/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2403.png: 640x384 4 0s, 34.7ms
image 149/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/241.png: 640x384 8 0s, 35.0ms
image 150/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2412.png: 640x384 1 0, 34.8ms
image 151/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2442.png: 640x384 1 0, 34.8ms
image 152/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2443.png: 640x384 2 0s, 34.6ms
image 153/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2455.png: 640x384 1 0, 34.6ms
image 154/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2458.png: 640x384 2 0s, 34.5ms
image 155/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2464.png: 640x384 2 0s, 34.6ms
image 156/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2494.png: 640x384 2 0s, 35.0ms
image 157/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/2499.png: 640x384 1 0, 34.9ms
image 158/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/259.png: 640x384 5 0s, 34.8ms
image 159/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/261.png: 640x384 1 0, 34.7ms
image 160/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/271.png: 640x384 4 0s, 34.7ms
image 161/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/276.png: 640x384 5 0s, 34.6ms
image 162/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/283.png: 640x384 6 0s, 34.7ms
image 163/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/306.png: 640x384 1 0, 34.7ms
image 164/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/311.png: 640x384 5 0s, 34.6ms
image 165/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/313.png: 640x384 4 0s, 35.2ms
image 166/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/32.png: 640x384 2 0s, 35.1ms
image 167/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/328.png: 640x384 7 0s, 34.6ms
image 168/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/340.png: 640x384 5 0s, 34.7ms
image 169/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/358.png: 640x384 5 0s, 35.2ms
image 170/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/368.png: 640x384 2 0s, 34.8ms
image 171/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/380.png: 640x384 2 0s, 34.7ms
image 172/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/399.png: 640x384 1 0, 34.6ms
image 173/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/406.png: 640x384 3 0s, 34.4ms
image 174/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/428.png: 640x384 3 0s, 34.7ms
image 175/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/438.png: 640x384 3 0s, 34.6ms
image 176/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/445.png: 640x384 2 0s, 34.7ms
image 177/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/478.png: 640x384 3 0s, 34.8ms
image 178/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/495.png: 640x384 7 0s, 34.6ms
image 179/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/504.png: 640x384 4 0s, 34.7ms
image 180/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/507.png: 640x384 1 0, 34.8ms
image 181/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/513.png: 640x384 2 0s, 34.7ms
image 182/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/514.png: 640x384 2 0s, 34.9ms
image 183/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/516.png: 640x384 1 0, 34.9ms
image 184/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/520.png: 640x384 6 0s, 34.7ms
image 185/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/521.png: 640x384 4 0s, 34.7ms
image 186/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/532.png: 640x384 4 0s, 34.6ms
image 187/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/54.png: 640x384 2 0s, 34.6ms
image 188/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/549.png: 640x384 4 0s, 34.7ms
image 189/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/551.png: 640x384 2 0s, 34.5ms
image 190/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/557.png: 640x384 5 0s, 34.9ms
image 191/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/560.png: 640x384 2 0s, 34.6ms
image 192/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/580.png: 640x384 3 0s, 34.7ms
image 193/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/581.png: 640x384 2 0s, 34.6ms
image 194/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/59.png: 640x384 2 0s, 34.6ms
image 195/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/609.png: 640x384 2 0s, 34.6ms
image 196/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/622.png: 640x384 3 0s, 34.4ms
image 197/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/624.png: 640x384 5 0s, 34.7ms
image 198/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/635.png: 640x384 2 0s, 34.8ms
image 199/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/638.png: 640x384 2 0s, 51.0ms
image 200/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/639.png: 640x384 3 0s, 39.6ms
image 201/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/640.png: 640x384 3 0s, 34.3ms
image 202/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/645.png: 640x384 2 0s, 34.8ms
image 203/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/646.png: 640x384 3 0s, 34.7ms
image 204/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/649.png: 640x384 2 0s, 34.5ms
image 205/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/663.png: 640x384 3 0s, 34.6ms
image 206/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/678.png: 640x384 1 0, 34.6ms
image 207/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/693.png: 640x384 1 0, 35.4ms
image 208/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/698.png: 640x384 2 0s, 34.8ms
image 209/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/703.png: 640x384 1 0, 34.6ms
image 210/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/714.png: 640x384 2 0s, 34.7ms
image 211/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/72.png: 640x384 2 0s, 34.7ms
image 212/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/723.png: 640x384 3 0s, 34.7ms
image 213/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/727.png: 640x384 1 0, 34.8ms
image 214/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/737.png: 640x384 3 0s, 34.6ms
image 215/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/763.png: 640x384 4 0s, 34.6ms
image 216/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/765.png: 640x384 3 0s, 34.5ms
image 217/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/766.png: 640x384 4 0s, 34.6ms
image 218/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/767.png: 640x384 2 0s, 34.6ms
image 219/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/768.png: 640x384 3 0s, 34.6ms
image 220/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/772.png: 640x384 3 0s, 34.8ms
image 221/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/781.png: 640x384 1 0, 34.7ms
image 222/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/784.png: 640x384 2 0s, 34.7ms
image 223/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/786.png: 640x384 2 0s, 34.7ms
image 224/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/797.png: 640x384 2 0s, 34.6ms
image 225/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/802.png: 640x384 3 0s, 34.7ms
image 226/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/809.png: 640x384 2 0s, 34.7ms
image 227/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/811.png: 640x384 2 0s, 34.6ms
image 228/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/812.png: 640x384 2 0s, 34.6ms
image 229/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/815.png: 640x384 1 0, 34.7ms
image 230/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/821.png: 640x384 2 0s, 34.6ms
image 231/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/826.png: 640x384 4 0s, 34.7ms
image 232/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/843.png: 640x384 1 0, 34.6ms
image 233/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/854.png: 640x384 4 0s, 34.7ms
image 234/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/860.png: 640x384 1 0, 34.4ms
image 235/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/87.png: 640x384 8 0s, 34.6ms
image 236/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/876.png: 640x384 2 0s, 34.6ms
image 237/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/893.png: 640x384 1 0, 34.5ms
image 238/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/90.png: 640x384 4 0s, 34.6ms
image 239/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/901.png: 640x384 1 0, 34.4ms
image 240/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/902.png: 640x384 4 0s, 34.6ms
image 241/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/931.png: 640x384 3 0s, 34.6ms
image 242/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/935.png: 640x384 3 0s, 34.9ms
image 243/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/943.png: 640x384 1 0, 34.6ms
image 244/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/944.png: 640x384 1 0, 34.6ms
image 245/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/947.png: 640x384 3 0s, 34.7ms
image 246/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/954.png: 640x384 2 0s, 34.8ms
image 247/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/96.png: 640x384 5 0s, 34.7ms
image 248/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/967.png: 640x384 3 0s, 34.8ms
image 249/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/969.png: 640x384 1 0, 34.6ms
image 250/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/971.png: 640x384 3 0s, 34.8ms
image 251/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/979.png: 640x384 2 0s, 34.6ms
Speed: 7.9ms preprocess, 36.0ms inference, 4.5ms postprocess per image at shape (1, 3, 640, 384)
Results saved to [1m/ultralytics/runs/detect/predict[0m
Inference done. Results saved to inference_benchmark_results.csv
Tegrastats log saved to tegrastats_results.txt
