
image 1/83 /app/Datasets/Grapes/test/images/106.jpg: 576x640 1 0, 298.4ms
image 72/83 /app/Datasets/Grapes/test/images/870.jpg: 576x640 7 0s, 41.6ms
image 73/83 /app/Datasets/Grapes/test/images/874.jpg: 576x640 3 0s, 41.7ms
image 74/83 /app/Datasets/Grapes/test/images/881.jpg: 576x640 1 0, 41.7ms
image 75/83 /app/Datasets/Grapes/test/images/887.jpg: 576x640 4 0s, 41.6ms
image 76/83 /app/Datasets/Grapes/test/images/894.jpg: 576x640 1 0, 41.6ms
image 77/83 /app/Datasets/Grapes/test/images/907.jpg: 576x640 2 0s, 41.6ms
image 78/83 /app/Datasets/Grapes/test/images/914.jpg: 576x640 7 0s, 41.8ms
image 79/83 /app/Datasets/Grapes/test/images/925.jpg: 576x640 2 0s, 41.8ms
image 80/83 /app/Datasets/Grapes/test/images/956.jpg: 576x640 3 0s, 41.6ms
image 81/83 /app/Datasets/Grapes/test/images/96.jpg: 576x640 3 0s, 41.7ms
image 82/83 /app/Datasets/Grapes/test/images/965.jpg: 576x640 1 0, 41.2ms
image 83/83 /app/Datasets/Grapes/test/images/974.jpg: 576x640 2 0s, 41.4ms
Speed: 9.2ms preprocess, 45.0ms inference, 4.4ms postprocess per image at shape (1, 3, 576, 640)
Results saved to [1m/ultralytics/runs/detect/predict[0m
Inference done. Results saved to inference_benchmark_results.csv
Tegrastats log saved to tegrastats_results.txt
